#Bridge:SAmerica-eth18:Eth3
190.11.112.1/20,190.11.127.254
181.0.0.1/18,181.0.63.254
181.20.0.1/18,181.20.63.254
190.94.160.1/20,190.94.175.254
190.104.192.1/20,190.104.207.254
190.181.64.1/20,190.181.79.254
190.120.112.1/20,190.120.127.254
190.221.0.1/20,190.221.15.254
190.216.0.1/20,190.216.15.254
186.122.0.1/20,186.122.15.254
190.124.144.1/20,190.124.159.254
186.108.0.1/20,186.108.15.254
190.228.0.1/20,190.228.15.254
190.137.0.1/20,190.137.15.254
190.0.112.1/20,190.0.127.254
200.0.224.1/20,200.0.239.254
186.157.0.1/20,186.157.15.254
200.31.240.1/20,200.31.255.254
186.4.64.1/20,186.4.79.254
190.14.160.1/20,190.14.175.254
200.123.96.1/20,200.123.111.254
190.105.176.1/20,190.105.191.254
190.12.160.1/20,190.12.175.254
200.5.192.1/20,200.5.207.254
190.192.0.1/20,190.192.15.254
140.191.0.1/18,140.191.63.254
200.10.96.1/20,200.10.111.254
190.52.80.1/20,190.52.95.254
186.12.0.1/20,186.12.15.254
190.184.224.1/20,190.184.239.254
190.123.96.1/20,190.123.111.254
190.120.144.1/20,190.120.159.254
200.127.0.1/20,200.127.15.254
190.93.192.1/20,190.93.207.254
186.64.64.1/20,186.64.79.254
186.33.192.1/20,186.33.207.254
200.108.64.1/20,200.108.79.254
190.11.32.1/20,190.11.47.254
190.172.0.1/20,190.172.15.254
190.11.192.1/20,190.11.207.254
190.9.0.1/20,190.9.15.254
190.115.32.1/20,190.115.47.254
200.125.64.1/20,200.125.79.254
163.10.0.1/18,163.10.63.254
129.214.0.1/18,129.214.63.254
186.26.96.1/20,186.26.111.254
190.93.208.1/20,190.93.223.254
190.94.176.1/20,190.94.191.254
200.126.128.1/20,200.126.143.254
200.55.64.1/20,200.55.79.254
190.114.128.1/20,190.114.143.254
181.114.192.1/19,181.114.223.254
200.105.0.1/20,200.105.15.254
190.106.160.1/20,190.106.175.254
190.111.32.1/20,190.111.47.254
200.16.96.1/20,200.16.111.254
186.1.224.1/20,186.1.239.254
190.106.96.1/20,190.106.111.254
190.16.0.1/20,190.16.15.254
190.136.0.1/20,190.136.15.254
190.120.48.1/20,190.120.63.254
186.26.64.1/20,186.26.79.254
190.174.0.1/20,190.174.15.254
190.176.0.1/20,190.176.15.254
190.220.128.1/20,190.220.143.254
181.209.0.1/20,181.209.15.254
186.96.0.1/20,186.96.15.254
190.124.192.1/20,190.124.207.254
190.104.64.1/20,190.104.79.254
186.22.0.1/20,186.22.15.254
190.138.0.1/20,190.138.15.254
190.114.96.1/20,190.114.111.254
190.105.224.1/20,190.105.239.254
190.5.0.1/20,190.5.15.254
200.16.16.1/20,200.16.31.254
186.96.128.1/20,186.96.143.254
190.105.208.1/20,190.105.223.254
200.117.128.1/20,200.117.143.254
190.15.192.1/20,190.15.207.254
200.123.32.1/20,200.123.47.254
190.185.128.1/20,190.185.143.254
186.12.128.1/20,186.12.143.254
190.105.64.1/20,190.105.79.254
190.11.48.1/20,190.11.63.254
190.7.176.1/20,190.7.191.254
186.100.0.1/20,186.100.15.254
200.117.64.1/20,200.117.79.254
190.124.224.1/20,190.124.239.254
181.96.0.1/18,181.96.63.254
186.5.192.1/20,186.5.207.254
190.7.224.1/20,190.7.239.254
190.93.48.1/20,190.93.63.254
168.96.0.1/18,168.96.63.254
200.3.96.1/20,200.3.111.254
186.5.240.1/20,186.5.255.254
190.120.96.1/20,190.120.111.254
190.11.96.1/20,190.11.111.254
190.92.192.1/20,190.92.207.254
181.177.0.1/19,181.177.31.254
200.3.64.1/20,200.3.79.254
200.45.0.1/20,200.45.15.254
190.9.16.1/20,190.9.31.254
190.226.0.1/20,190.226.15.254
200.126.160.1/20,200.126.175.254
190.57.192.1/20,190.57.207.254
190.14.176.1/20,190.14.191.254
181.16.64.1/18,181.16.127.254
186.126.0.1/20,186.126.15.254
186.1.208.1/20,186.1.223.254
190.114.192.1/20,190.114.207.254
190.220.0.1/20,190.220.15.254
181.16.0.1/18,181.16.63.254
200.126.192.1/20,200.126.207.254
190.7.32.1/20,190.7.47.254
190.57.224.1/20,190.57.239.254
190.15.224.1/20,190.15.239.254
181.114.128.1/19,181.114.159.254
190.11.160.1/20,190.11.175.254
190.111.192.1/20,190.111.207.254
190.0.96.1/20,190.0.111.254
190.12.192.1/20,190.12.207.254
190.211.64.1/20,190.211.79.254
190.217.0.1/20,190.217.15.254
186.0.160.1/20,186.0.175.254
200.31.0.1/20,200.31.15.254
181.164.0.1/19,181.164.31.254
190.114.80.1/20,190.114.95.254
186.0.192.1/20,186.0.207.254
170.51.0.1/18,170.51.63.254
190.106.128.1/20,190.106.143.254
196.32.64.1/20,196.32.79.254
190.98.160.1/20,190.98.175.254
186.152.0.1/20,186.152.15.254
200.105.64.1/20,200.105.79.254
190.7.0.1/20,190.7.15.254
161.190.0.1/18,161.190.63.254
190.3.0.1/20,190.3.15.254
190.30.0.1/20,190.30.15.254
190.97.32.1/20,190.97.47.254
190.211.192.1/20,190.211.207.254
181.189.192.1/20,181.189.207.254
190.123.80.1/20,190.123.95.254
190.1.96.1/20,190.1.111.254
