#Bridge:Havana-Web:Eth2
50.87.186.1/25,50.87.186.126
152.132.104.1/24,152.132.104.254
64.79.171.1/25,64.79.171.126
196.3.10.129/25,196.3.10.254
208.71.195.1/25,208.71.195.126
209.124.203.1/25,209.124.203.126
69.49.175.129/25,69.49.175.254
199.36.100.1/25,199.36.100.126
209.133.56.1/25,209.133.56.126
72.47.232.1/23,72.47.233.254
50.87.172.1/25,50.87.172.126
209.132.180.1/22,209.132.183.254
152.133.104.1/23,152.133.105.254
65.112.29.1/25,65.112.29.126
192.81.216.1/22,192.81.219.254
199.36.143.1/25,199.36.143.126
192.81.222.1/25,192.81.222.126
50.87.154.1/25,50.87.154.126
64.40.154.1/25,64.40.154.126
74.117.182.129/25,74.117.182.254
12.227.87.129/25,12.227.87.254
173.227.222.129/25,173.227.222.254
64.78.188.129/25,64.78.188.254
64.78.235.129/25,64.78.235.254
64.79.133.1/25,64.79.133.126
204.15.66.1/25,204.15.66.126
74.117.178.1/24,74.117.178.254
216.178.216.1/25,216.178.216.126
72.47.200.129/25,72.47.200.254
64.84.20.129/25,64.84.20.254
74.119.63.1/24,74.119.63.254
65.182.101.129/25,65.182.101.254
216.178.232.1/23,216.178.233.254
72.47.223.1/24,72.47.223.254
64.185.222.129/25,64.185.222.254
50.87.148.1/22,50.87.151.254
74.117.206.1/23,74.117.207.254
72.47.224.1/25,72.47.224.126
64.71.239.1/25,64.71.239.126
64.78.193.129/25,64.78.193.254
199.204.136.1/22,199.204.139.254
162.210.101.129/25,162.210.101.254
50.73.50.129/25,50.73.50.254
208.91.196.1/22,208.91.199.254
72.47.228.1/24,72.47.228.254
162.251.80.1/24,162.251.80.254
216.178.46.1/23,216.178.47.254
173.226.48.129/25,173.226.48.254
199.79.62.1/25,199.79.62.126
64.78.152.129/25,64.78.152.254
50.87.144.1/22,50.87.147.254
199.34.228.1/25,199.34.228.126
64.78.1.1/25,64.78.1.126
193.109.246.1/23,193.109.247.254
50.87.9.1/25,50.87.9.126
50.87.182.129/25,50.87.182.254
208.71.199.129/25,208.71.199.254
96.47.236.1/25,96.47.236.126
64.77.109.129/25,64.77.109.254
