#Bridge:Paris-Web:Eth7
129.43.254.1/25,129.43.254.126
129.55.110.1/25,129.55.110.126
199.101.132.1/22,199.101.135.254
24.173.20.129/25,24.173.20.254
167.68.35.1/25,167.68.35.126
192.200.170.129/25,192.200.170.254
167.68.24.1/25,167.68.24.126
149.174.97.129/25,149.174.97.254
208.94.233.1/25,208.94.233.126
216.27.21.1/25,216.27.21.126
149.174.149.1/25,149.174.149.126
64.130.47.129/25,64.130.47.254
209.87.209.1/25,209.87.209.126
216.27.62.1/24,216.27.62.254
64.130.8.1/25,64.130.8.126
129.43.40.1/25,129.43.40.126
149.175.1.1/25,149.175.1.126
216.27.85.129/25,216.27.85.254
129.41.23.129/25,129.41.23.254
64.130.60.129/25,64.130.60.254
198.185.159.129/25,198.185.159.254
198.186.175.1/25,198.186.175.126
167.68.22.1/24,167.68.22.254
64.130.34.129/25,64.130.34.254
167.68.37.129/25,167.68.37.254
184.17.143.129/25,184.17.143.254
149.174.144.1/25,149.174.144.126
184.84.180.1/22,184.84.183.254
