#Bridge:Munich-Web:Eth5
130.193.9.1/25,130.193.9.126
213.239.216.1/25,213.239.216.126
88.198.11.1/25,88.198.11.126
78.47.71.1/25,78.47.71.126
217.31.49.1/25,217.31.49.126
78.47.254.129/25,78.47.254.254
78.46.41.1/25,78.46.41.126
78.47.223.129/25,78.47.223.254
88.86.125.129/25,88.86.125.254
78.46.3.1/25,78.46.3.126
37.157.196.129/25,37.157.196.254
80.79.24.1/22,80.79.27.254
89.185.240.1/25,89.185.240.126
193.165.171.1/25,193.165.171.126
91.213.160.1/25,91.213.160.126
89.185.249.1/25,89.185.249.126
78.46.32.1/25,78.46.32.126
88.198.231.2/25,88.198.231.126
83.167.224.1/25,83.167.224.126
217.31.58.129/25,217.31.58.254
37.157.195.1/25,37.157.195.126
31.31.72.129/25,31.31.72.254
109.123.222.1/23,109.123.223.254
81.31.45.1/25,81.31.45.126
92.43.25.1/25,92.43.25.126
95.168.192.129/25,95.168.192.254
86.109.248.1/25,86.109.248.126
78.47.224.1/25,78.47.224.126
77.244.254.1/25,77.244.254.126
131.159.74.1/25,131.159.74.126
88.86.101.1/24,88.86.101.254
78.47.162.129/25,78.47.162.254
81.2.234.129/25,81.2.234.254
93.104.247.129/25,93.104.247.254
212.52.82.1/25,212.52.82.126
85.93.165.1/25,85.93.165.126
88.198.56.1/22,88.198.59.254
78.24.8.1/22,78.24.11.254
89.185.244.1/25,89.185.244.126
85.10.231.129/25,85.10.231.254
88.198.18.129/25,88.198.18.254
78.46.95.129/25,78.46.95.254
194.107.62.1/25,194.107.62.126
93.185.104.1/25,93.185.104.126
78.46.181.1/25,78.46.181.126
78.46.107.129/25,78.46.107.254
78.46.18.129/25,78.46.18.254
83.167.250.129/25,83.167.250.254
46.28.104.1/23,46.28.105.254
85.10.227.129/25,85.10.227.254
78.47.149.129/25,78.47.149.254
217.75.220.1/25,217.75.220.126
213.239.212.129/25,213.239.212.254
88.86.120.1/23,88.86.121.254
194.79.52.1/25,194.79.52.126
194.228.111.129/25,194.228.111.254
78.24.14.1/25,78.24.14.126
93.185.102.1/25,93.185.102.126
91.239.200.1/23,91.239.201.254
78.46.52.1/22,78.46.55.254
81.19.145.1/25,81.19.145.126
46.234.102.1/25,46.234.102.126
146.255.27.1/25,146.255.27.126
195.250.141.1/25,195.250.141.126
78.46.73.129/25,78.46.73.254
82.208.36.1/25,82.208.36.126
188.92.41.129/25,188.92.41.254
82.100.58.129/25,82.100.58.254
212.158.139.1/25,212.158.139.126
213.133.121.1/25,213.133.121.126
212.96.164.129/25,212.96.164.254
83.167.230.129/25,83.167.230.254
212.47.2.1/25,212.47.2.126
213.239.201.1/25,213.239.201.126
95.168.217.1/25,95.168.217.126
217.196.149.1/25,217.196.149.126
77.75.72.1/23,77.75.73.254
81.0.237.1/25,81.0.237.126
77.78.104.1/24,77.78.104.254
88.217.192.1/25,88.217.192.126
62.168.46.129/25,62.168.46.254
212.96.160.129/25,212.96.160.254
78.46.82.1/25,78.46.82.126
88.198.199.129/25,88.198.199.254
77.75.77.1/24,77.75.77.254
193.179.77.129/25,193.179.77.254
88.198.51.129/25,88.198.51.254
193.105.158.1/25,193.105.158.126
185.2.42.1/25,185.2.42.126
85.10.210.129/25,85.10.210.254
217.198.116.129/25,217.198.116.254
88.86.119.129/25,88.86.119.254
95.168.211.1/25,95.168.211.126
62.109.134.1/25,62.109.134.126
78.46.216.1/25,78.46.216.126
77.93.211.129/25,77.93.211.254
77.93.203.129/25,77.93.203.254
217.11.251.1/25,217.11.251.126
81.95.100.129/25,81.95.100.254
81.2.194.1/23,81.2.195.254
89.185.236.1/25,89.185.236.126
46.28.108.1/25,46.28.108.126
