#Bridge:Mena-Eth17:Eth3,
212.95.128.1/20,212.95.143.254,212.95.128.254
176.123.64.1/20,176.123.79.254,176.123.64.254
213.217.32.1/20,213.217.47.254,213.217.32.254
176.102.224.1/20,176.102.239.254,176.102.224.254
178.236.32.1/20,178.236.47.254,178.236.32.254
188.121.128.1/20,188.121.143.254,188.121.128.254
94.74.128.1/20,94.74.143.254,94.74.128.254
46.224.0.1/20,46.224.15.254,46.224.0.254
212.86.64.1/20,212.86.79.254,212.86.64.254
188.253.0.1/20,188.253.15.254,188.253.0.254
5.22.0.1/20,5.22.15.254,5.22.0.254
109.72.192.1/20,109.72.207.254,109.72.192.254
95.80.128.1/20,95.80.143.254,95.80.128.254
217.64.144.1/20,217.64.159.254,217.64.144.254
188.136.128.1/20,188.136.143.254,188.136.128.254
178.215.0.1/20,178.215.15.254,178.215.0.254
109.230.64.1/20,109.230.79.254,109.230.64.254
95.82.0.1/20,95.82.15.254,95.82.0.254
94.184.128.1/20,94.184.143.254,94.184.128.254
77.245.224.1/20,77.245.239.254,77.245.224.254
84.241.0.1/20,84.241.15.254,84.241.0.254
178.219.224.1/20,178.219.239.254,178.219.224.254
176.46.128.1/20,176.46.143.254,176.46.128.254
87.248.128.1/20,87.248.143.254,87.248.128.254
188.158.0.1/20,188.158.15.254,188.158.0.254
94.101.128.1/20,94.101.143.254,94.101.128.254
212.120.192.1/20,212.120.207.254,212.120.192.254
109.111.32.1/20,109.111.47.254,109.111.32.254
92.242.192.1/20,92.242.207.254,92.242.192.254
212.16.64.1/20,212.16.79.254,212.16.64.254
5.22.192.1/20,5.22.207.254,5.22.192.254
151.232.0.1/20,151.232.15.254,151.232.0.254
31.7.128.1/20,31.7.143.254,31.7.128.254
91.184.64.1/20,91.184.79.254,91.184.64.254
109.122.192.1/20,109.122.207.254,109.122.192.254
80.250.192.1/20,80.250.207.254,80.250.192.254
178.173.128.1/20,178.173.143.254,178.173.128.254
95.38.0.1/20,95.38.15.254,95.38.0.254
85.133.128.1/20,85.133.143.254,85.133.128.254
46.248.32.1/20,46.248.47.254,46.248.32.254
87.247.160.1/20,87.247.175.254,87.247.160.254
109.74.224.1/20,109.74.239.254,109.74.224.254
81.28.32.1/20,81.28.47.254,81.28.32.254
78.157.32.1/20,78.157.47.254,78.157.32.254
37.152.160.1/20,37.152.175.254,37.152.160.254
85.198.0.1/20,85.198.15.254,85.198.0.254
