#Bridge:Mena-eth17:Eth2
196.12.192.1/22,196.12.195.254
105.128.0.1/22,105.128.3.254
197.230.0.1/22,197.230.3.254
41.214.128.1/22,41.214.131.254
196.2.80.1/22,196.2.83.254
41.92.0.1/22,41.92.3.254
196.217.0.1/22,196.217.3.254
194.204.192.1/22,194.204.195.254
197.253.128.1/22,197.253.131.254
41.205.192.1/22,41.205.195.254
197.128.0.1/22,197.128.3.254
81.192.0.1/22,81.192.3.254
41.248.0.1/22,41.248.3.254
212.217.0.1/22,212.217.3.254
41.87.128.1/22,41.87.131.254
197.153.0.1/22,197.153.3.254
41.137.0.1/22,41.137.3.254
193.194.32.1/22,193.194.35.254
196.206.0.1/22,196.206.3.254
62.251.128.1/22,62.251.131.254
196.200.128.1/22,196.200.131.254
197.144.0.1/22,197.144.3.254
197.247.0.1/22,197.247.3.254
41.140.0.1/22,41.140.3.254
