#Bridge:SAmerica-eth18:Eth6
186.170.0.1/20,186.170.15.254
190.70.0.1/20,190.70.15.254
200.58.192.1/20,200.58.207.254
190.52.0.1/20,190.52.15.254
200.89.192.1/20,200.89.207.254
200.75.64.1/20,200.75.79.254
200.6.176.1/20,200.6.191.254
190.7.144.1/20,190.7.159.254
201.238.128.1/20,201.238.143.254
200.73.0.1/20,200.73.15.254
181.225.96.1/20,181.225.111.254
200.114.0.1/20,200.114.15.254
201.236.224.1/20,201.236.239.254
186.102.0.1/20,186.102.15.254
190.81.0.1/20,190.81.15.254
201.228.128.1/20,201.228.143.254
200.71.48.1/20,200.71.63.254
186.159.0.1/20,186.159.15.254
190.68.0.1/20,190.68.15.254
200.89.208.1/20,200.89.223.254
200.21.0.1/20,200.21.15.254
186.1.160.1/20,186.1.175.254
186.84.0.1/20,186.84.15.254
186.116.0.1/20,186.116.15.254
200.13.224.1/20,200.13.239.254
181.199.0.1/20,181.199.15.254
190.7.96.1/20,190.7.111.254
190.111.64.1/20,190.111.79.254
200.107.0.1/20,200.107.15.254
190.14.240.1/20,190.14.255.254
190.15.0.1/20,190.15.15.254
181.152.0.1/20,181.152.15.254
186.28.0.1/20,186.28.15.254
181.177.224.1/20,181.177.239.254
201.219.32.1/20,201.219.47.254
190.107.64.1/20,190.107.79.254
200.122.224.1/20,200.122.239.254
200.116.0.1/20,200.116.15.254
200.105.224.1/20,200.105.239.254
186.0.0.1/20,186.0.15.254
190.94.128.1/20,190.94.143.254
186.121.0.1/20,186.121.15.254
190.0.0.1/20,190.0.15.254
190.7.128.1/20,190.7.143.254
201.216.32.1/20,201.216.47.254
200.114.32.1/20,200.114.47.254
186.101.0.1/20,186.101.15.254
190.214.0.1/20,190.214.15.254
181.240.0.1/20,181.240.15.254
200.107.32.1/20,200.107.47.254
181.236.0.1/20,181.236.15.254
186.65.0.1/20,186.65.15.254
201.183.0.1/20,201.183.15.254
190.28.0.1/20,190.28.15.254
186.3.128.1/20,186.3.143.254
200.124.240.1/20,200.124.255.254
200.116.128.1/20,200.116.143.254
200.24.192.1/20,200.24.207.254
190.13.32.1/20,190.13.47.254
200.110.128.1/20,200.110.143.254
190.152.128.1/20,190.152.143.254
200.29.96.1/20,200.29.111.254
186.3.0.1/20,186.3.15.254
190.7.112.1/20,190.7.127.254
200.1.64.1/20,200.1.79.254
190.154.128.1/20,190.154.143.254
200.91.224.1/20,200.91.239.254
181.70.0.1/20,181.70.15.254
190.111.80.1/20,190.111.95.254
201.218.32.1/20,201.218.47.254
190.63.0.1/20,190.63.15.254
201.238.176.1/20,201.238.191.254
190.113.192.1/20,190.113.207.254
186.181.0.1/20,186.181.15.254
190.12.32.1/20,190.12.47.254
181.56.0.1/20,181.56.15.254
190.5.192.1/20,190.5.207.254
190.250.0.1/20,190.250.15.254
200.63.240.1/20,200.63.255.254
190.13.192.1/20,190.13.207.254
186.46.128.1/20,186.46.143.254
200.69.176.1/20,200.69.191.254
190.7.80.1/20,190.7.95.254
181.128.0.1/20,181.128.15.254
190.120.80.1/20,190.120.95.254
186.29.0.1/20,186.29.15.254
186.70.0.1/20,186.70.15.254
200.118.0.1/20,200.118.15.254
179.7.0.1/20,179.7.15.254
200.91.192.1/20,200.91.207.254
186.27.128.1/20,186.27.143.254
168.176.0.1/20,168.176.15.254
186.103.0.1/20,186.103.15.254
179.12.0.1/20,179.12.15.254
200.71.32.1/20,200.71.47.254
190.9.64.1/20,190.9.79.254
200.124.224.1/20,200.124.239.254
200.4.16.1/20,200.4.31.254
181.233.192.1/20,181.233.207.254
200.110.112.1/20,200.110.127.254
200.61.128.1/20,200.61.143.254
190.123.0.1/20,190.123.15.254
181.66.0.1/20,181.66.15.254
190.10.192.1/20,190.10.207.254
190.13.96.1/20,190.13.111.254
186.112.0.1/20,186.112.15.254
157.253.0.1/20,157.253.15.254
186.97.64.1/20,186.97.79.254
190.70.128.1/20,190.70.143.254
200.125.128.1/20,200.125.143.254
200.89.112.1/20,200.89.127.254
190.52.112.1/20,190.52.127.254
200.114.16.1/20,200.114.31.254
190.10.128.1/20,190.10.143.254
190.13.0.1/20,190.13.15.254
190.152.0.1/20,190.152.15.254
190.8.128.1/20,190.8.143.254
190.118.0.1/20,190.118.15.254
190.8.224.1/20,190.8.239.254
201.236.192.1/20,201.236.207.254
216.241.0.1/20,216.241.15.254
190.102.128.1/20,190.102.143.254
186.180.0.1/20,186.180.15.254
200.118.128.1/20,200.118.143.254
190.81.64.1/20,190.81.79.254
186.0.64.1/20,186.0.79.254
181.68.0.1/20,181.68.15.254
200.71.64.1/20,200.71.79.254
186.99.0.1/20,186.99.15.254
190.252.0.1/20,190.252.15.254
201.216.0.1/20,201.216.15.254
201.221.176.1/20,201.221.191.254
190.15.128.1/20,190.15.143.254
200.80.0.1/20,200.80.15.254
186.3.64.1/20,186.3.79.254
190.97.80.1/20,190.97.95.254
201.221.144.1/20,201.221.159.254
186.66.0.1/20,186.66.15.254
186.31.0.1/20,186.31.15.254
