#Bridge:Mena-eth17:eth5
77.92.160.1/20,77.92.175.254
151.248.96.1/20,151.248.111.254
81.22.16.1/20,81.22.31.254
46.42.64.1/20,46.42.79.254
62.209.0.1/20,62.209.15.254
188.116.192.1/20,188.116.207.254
217.17.240.1/20,217.17.255.254
94.76.0.1/20,94.76.15.254
79.142.176.1/20,79.142.191.254
46.184.128.1/20,46.184.143.254
88.201.0.1/20,88.201.15.254
80.88.240.1/20,80.88.255.254
46.23.16.1/20,46.23.31.254
193.188.96.1/20,193.188.111.254
178.237.48.1/20,178.237.63.254
188.137.128.1/20,188.137.143.254
89.148.0.1/20,89.148.15.254
95.84.64.1/20,95.84.79.254
82.194.32.1/20,82.194.47.254
178.132.32.1/20,178.132.47.254
87.252.96.1/20,87.252.111.254
80.241.144.1/20,80.241.159.254
217.17.224.1/20,217.17.239.254
109.63.0.1/20,109.63.15.254
109.161.128.1/20,109.161.143.254
89.190.128.1/20,89.190.143.254
37.131.0.1/17,37.131.127.254
77.69.128.1/20,77.69.143.254
84.255.128.1/20,84.255.143.254
94.79.192.1/20,94.79.207.254
78.110.64.1/20,78.110.79.254
80.95.208.1/20,80.95.223.254
